"Mobiliteitstrend; per rit, vervoerwijzen, reismotief, leeftijd en geslacht";;;;;;;;;;;;;;;;;;;;;;;;;;
Geslacht: Totaal mannen en vrouwen;;;;;;;;;;;;;;;;;;;;;;;;;;
Marges: Waarde;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Vervoerwijzen;Totaal;Totaal;Totaal;Auto (bestuurder);Auto (bestuurder);Auto (bestuurder);Auto (passagier);Auto (passagier);Auto (passagier);Trein;Trein;Trein;Bus/tram/metro;Bus/tram/metro;Bus/tram/metro;Fiets;Fiets;Fiets;Lopen;Lopen;Lopen;Overige vervoerwijze;Overige vervoerwijze;Overige vervoerwijze
;;Onderwerp;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit
Perioden;Leeftijd;Reismotieven;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten
2011*;Totaal;Winkelen, boodschappen doen;0,61;5,17;14,45;0,2;7,53;14,7;0,07;11,1;19,27;0,01;42,26;46,41;0,02;7,57;24,58;0,17;1,99;12,1;0,13;0,87;11,92;0,01;5,59;16,2
2011*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,3;6,94;17,84;0,02;24,37;30,68;0,03;8,62;16,87;0,01;38,74;41,83;0,03;11,21;27,65;0,14;3,05;15,85;0,07;0,68;8,51;0,01;12,82;29,69
2011*;Totaal;Vrije tijd;1,05;12,93;32,1;0,26;20,76;29,05;0,19;23,82;32,48;0,02;64,14;65,36;0,03;10,16;29,94;0,26;4,92;30,12;0,27;2,18;33,26;0,03;18,53;47,64
2011*;Totaal;Overige reismotieven;0,51;12,2;19,96;0,23;16,63;22,45;0,05;19,58;25,98;0,01;61,98;58,72;0,01;7,96;25,52;0,11;2,28;12,91;0,07;0,8;10,69;0,02;21,84;29,93
2012*;Totaal;Totaal;3,11;11,13;23,84;0,98;17,63;24,73;0,36;19,21;27,7;0,07;48,33;49,47;0,12;9,43;26,61;0,86;3,47;19,56;0,61;1,42;20,98;0,1;17,51;32,71
2012*;Totaal;Van en naar het werk;0,61;15,54;24,78;0,26;23,3;29,92;0,02;20,92;29,69;0,03;41,38;42,3;0,04;9,42;24,96;0,16;3,82;17,66;0,06;0,83;9,77;0,04;18,99;27,89
2012*;Totaal;Winkelen, boodschappen doen;0,62;5,05;14,34;0,21;7,39;14,69;0,07;10,72;19,2;0;42,5;46,49;0,02;7,46;24,34;0,18;1,99;12,02;0,13;0,83;11,76;0,01;5,33;16,04
2012*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,29;7,04;18,05;0,02;24,46;31,07;0,02;8,19;16,62;0,01;38,97;42,03;0,03;11,29;27,77;0,13;3,07;16,02;0,06;0,67;8,31;0,01;11,95;29,57
2012*;Totaal;Vrije tijd;1,08;12,81;32,15;0,27;20,54;29;0,19;23,42;32,43;0,02;63,91;65,12;0,03;9,44;29,6;0,27;4,93;30,06;0,28;2,2;33,7;0,03;19,72;48,13
2012*;Totaal;Overige reismotieven;0,51;12;19,92;0,23;16,57;22,43;0,05;19,49;25,95;0,01;61,68;58,49;0,01;8,07;25,56;0,11;2,28;12,95;0,08;0,81;11,15;0,02;21,67;30,41
